	Machine readable ID	Human readable ID	Name	formula	charge	Comments	BiGG	Other names
gthox	C00127	gthox	Oxidized glutathione	C20H30N6O12S2	-2.0	BiGG compound	gthox	Glutathione disulfide, GSSG, Oxiglutatione
fum	C00122	fum	Fumarate	C4H2O4	-2.0	BiGG compound	fum	Fumaric acid, trans-Butenedioic acid
tmndnccoa	C16165	tmndnccoa	timnodonyl coenzyme A	C41H60N7O17P3S	-4.0	BiGG compound	tmndnccoa	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA
k	C00238	k	potassium	K	1.0	BiGG compound	k	Potassium cation, K+, Potassium(1+), Potassium ion
dolichol	C00381	dolichol	Dolichol	C110H180O	0.0	assumed n=18 for the number of isoprene units	dolichol	
udp4k6dg	C04089	udp4k6dg	UDP-4-keto-6-deoxy-D-glucose	C15H20N2O16P2	-2.0	charge from dbget and similar compounds in BIGG		UDP-4-dehydro-6-deoxy-D-glucose, UDP-4-oxo-6-deoxy-D-glucose
melib	C05402	melib	Melibiose	C12H22O11	0.0	BiGG compound	melib	6-O-(alpha-D-Galactopyranosyl)-D-glucopyranose, D-Gal-alpha1->6D-Glucose
dhdascb	C05422	dhdascb	Dehydroascorbate	C6H6O6	0.0	BiGG compound	dhdascb	Dehydroascorbic acid, L-Dehydroascorbate, L-Dehydroascorbic acid
histrna	C02988	histrna	L-Histidyl-tRNA(His)	C6H9N3O2R	1.0	tRNA formula in BiGG was modified for mass balance	histrna	
trnapro	C01649	trnapro	tRNA(Pro)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnapro	
gln-L	C00064	gln-L	L-Glutamine	C5H10N2O3	0.0	BiGG compound	gln-L	L-2-Aminoglutaramic acid
pepX	CC0152	pepX	Random peptide (special aminoacid carrier)	X	0.0	charge does not matter; random protein that holds special amino acids to be modified or transformed	pepd	
alken2gpe	C04635	alken2gpe	1-Alkenylglycerophosphoethanolamine	C23.0H48.0N1.0O6.0P1.0	-0.0	charge based on MetaCyc		1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine
pcollg_diS	CC0146	pcollg_diS	Procollagen (with di-Sulfide bridges for registration)	X	0.0	charge does not matter		
mi4p-D	C03546	mi4p-D	1D-myo-Inositol 4-phosphate	C6H11O9P	-2.0	BiGG compound	mi4p-D	myo-Inositol 4-phosphate, D-myo-Inositol 4-phosphate, 1D-myo-Inositol 4-monophosphate, Inositol 4-phosphate
pap	C00054	pap	"Adenosine 3',5'-bisphosphate"	C10H11N5O10P2	-4.0	BiGG compound	pap	Adenosine 3',5'-bisphosphate, PAP, 3'-Phosphoadenylate, Phosphoadenosine phosphate
idp	C00104	idp	IDP	C10H11N4O11P2	-3.0	BiGG compound	idp	Inosine 5'-diphosphate, Inosine diphosphate
protein_BAC	CC0051	protein_BAC	Protein component of bacterial diet	C4.793H7.694N1.3704O1.3964S0.0459	0.0252	charge does not matter		
glycogen	C00182	glycogen	glycogen	C6H10O5	0.0	"bglycogen" in BIGG nomenclature	glycogen	
gly	C00037	gly	Glycine	C2H5NO2	0.0	BiGG compound	gly	Aminoacetic acid, Gly
dhf	C00415	dhf	"7,8-Dihydrofolate"	C19H19N7O6	-2.0	BiGG compound	dhf	Dihydrofolate, Dihydrofolic acid, 7,8-Dihydrofolate, 7,8-Dihydrofolic acid, 7,8-Dihydropteroylglutamate
urate	C00366	urate	Urate	C5H4N4O3	0.0	BiGG compound	urate	Uric acid
pepd	C00012	pepd	Peptide	C2H4NO2R(C2H2NOR)n	0.0	the difference from BIGG consists of the parentheses and n	pepd	
dha	C00184	dha	Dihydroxyacetone	C3H6O3	0.0	BiGG compound	dha	Glycerone, 1,3-Dihydroxyacetone, 1,3-Dihydroxy-2-propanone, 1,3-Dihydroxypropan-2-one
dhlpro	C02972	dhlpro	Dihydrolipolprotein	H2S2X	0.0	BiGG compound	dhlpro	Dihydrolipoylprotein, [H Protein]-dihydrolipoyllysine
glyc3p	C00093	glyc3p	Glycerol 3-phosphate	C3H7O6P	-2.0	BiGG compound	glyc3p	sn-Glycerol 3-phosphate, Glycerophosphoric acid, D-Glycerol 1-phosphate
pad	C02505	pad	2-Phenylacetamide	C8H9NO	0.0	BiGG compound	pad	alpha-Phenylacetamide
paf	C04598	paf	Platelet-activating factor	C28.0H58.0N1.0O7.0P1.0	-0.0	charge based on human version in BiGG		2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine, PAF
arg-L	C00062	arg-L	L-Arginine	C6H15N4O2	1.0	BiGG compound	arg-L	(S)-2-Amino-5-guanidinovaleric acid, L-Arg
pepasp3oh	C03957	pepasp3oh	Peptide 3-hydroxy-L-aspartate	XC4H4NO4	-1.0	charge and formula based on MetaCyc; protein charge (that of X) is ignored		
dxtrn2	CC0047	dxtrn2	Limited dextrin 2	C6H10O5	0.0	one of the three intermediate forms of glycogen during glycogen degradation		
dxtrn3	CC0048	dxtrn3	Limited dextrin 3	C6H10O5	0.0	one of the three intermediate forms of glycogen during glycogen degradation		
trnathr	C01651	trnathr	tRNA(Thr)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnathr	
dxtrn1	CC0046	dxtrn1	Limited dextrin 1	C6H10O5	0.0	one of the three intermediate forms of glycogen during glycogen degradation		
cholcoa	C01794	cholcoa	Choloyl-CoA	C45H70N7O20P3S	-4.0	BiGG compound	cholcoa	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanoyl-CoA, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-one-CoA
m1mpdol	C05861	m1mpdol	alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol	C138H226N2O27P2	-2.0	assumed n=18 for the number of isoprene units	m1macchitppdol,m1mpdol_L,m1mpdol_U	alpha-D-Mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, alpha-1,3-D-Mannosyl-beta-1,4-D-mannosylchitobiosyldiphosphodolichol, Man-alpha1->3Man-beta1->4GlcNAc-beta1->4GlcNAc-PP-Dol
hak2lgchol	CC0139	hak2lgchol	1-hydroxyalkyl-2-lyso-sn-glycero-3-phosphocholine	C26.0H56.0N1.0O7.0P1.0	0.0	charge follows from C04317		
nicrnt	C01185	nicrnt	Nicotinate D-ribonucleotide	C11H12NO9P	-2.0	BiGG compound	nicrnt	beta-Nicotinate D-ribonucleotide, Nicotinate ribonucleotide, Nicotinic acid ribonucleotide
3php	C03232	3php	3-Phosphohydroxypyruvate	C3H2O7P	-3.0	BiGG compound	3php	3-Phosphonooxypyruvate, 3-Phosphonooxypyruvic acid, 3-Phosphohydroxypyruvic acid
malcoa	C00083	malcoa	Malonyl-CoA	C24H33N7O19P3S	-5.0	BiGG compound	malcoa	Malonyl coenzyme A
amuco	C02220	amuco	2-Aminomuconate	C6H6NO4	-1.0	BiGG compound	amuco	2-Aminomuconic acid, o-Aminomuconate
nm2masn	CC0034	nm2masn	(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C46.0H77.0N5.0O33.0	-0.0	designated as G00014 in KEGG nomenclature	nm2masn	
g3m8masn	CC0028	g3m8masn	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C92.0H154.0N4.0O73.0	-0.0	designated as G00009 in KEGG nomenclature	g3m8masn	
g6p-B	C01172	g6p-B	beta-D-glucose 6-phosphate	C6H11O9P	-2.0	BiGG compound	g6p-B	
g6p-A	C00668	g6p-A	alpha-D-Glucose 6-phosphate	C6H11O9P	-2.0	charge based on g6p in BiGG	g6p	
3mop	C00671	3mop	(S)-3-Methyl-2-oxopentanoate	C6H9O3	-1.0	BiGG compound	3mop	(S)-3-Methyl-2-oxopentanoic acid, (3S)-3-Methyl-2-oxopentanoic acid, (3S)-3-Methyl-2-oxopentanoate
tropcollgtyr	CC0149	tropcollgtyr	Tropocollagen L-tyrosine (to be cross-linked)	XH	0.0	charge does not matter		
val-L	C00183	val-L	L-Valine	C5H11NO2	0.0	BiGG compound	val-L	2-Amino-3-methylbutyric acid
glutrna_gln	C06112	glutrna_gln	L-Glutamyl-tRNA(Gln)	C5H8NO4R	0.0	tRNA formula in BiGG was modified for mass balance	glutrna(gln)	Glu-tRNA(Gln), Glutamyl-tRNA(Gln)
2npmhobq	CC0011	2npmhobq	2-Decaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone	C53H80O4	0.0	charge based on 2dpmhobq in BIGG	2dpmhobq	
3uib	C05100	3uib	3-Ureidoisobutyrate	C5H9N2O3	-1.0	BiGG compound	3uib	
dgdp	C00361	dgdp	dGDP	C10H12N5O10P2	-3.0	BiGG compound	dgdp	2'-Deoxyguanosine 5'-diphosphate
25aics	C04823	25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	C13H15N4O12P	-4.0	BiGG compound	25aics	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole, 1-(5'-Phosphoribosyl)-4-(N-succinocarboxamide)-5-aminoimidazole, 5'-Phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole, SAICAR
cdpdag	C00269	cdpdag	CDP diacylglycerol 	C49.1308H80.1556N3.0O15.0P2.0	-2.0	charge based on human version in BiGG	cdpdag_hs	CDP-diacylglycerol, CDP-1,2-diacylglycerol, 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate
i	C00708	i	Iodide	I	-1.0	BiGG compound	i	I-
protSfarC	C04506	protSfarC	Protein C-terminal S-farnesyl-L-cysteine 	C20H33N2O3SR(C2H2NOR)n	0.0	(C2H2NOR)n represents the repetitive peptide; the sign would depend on the protein but taken zero by convention		Protein C-terminal S-farnesyl-L-cysteine
mobd	C06232	mobd	Molybdate	MoO4	-2.0	BiGG compound	mobd	
thbpt	C00272	thbpt	Tetrahydrobiopterin	C9H15N5O3	0.0	BiGG compound	thbpt	5,6,7,8-Tetrahydrobiopterin, 2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone, L-erythro-Tetrahydrobiopterin
stcrn	CC0108	stcrn	Stearoylcarnitine	C25H49NO4	0.0	charge and formula based on other acyl carnitines	stcrn	
thm	C00378	thm	Thiamin	C12H17N4OS	1.0	BiGG compound	thm	Thiamine, Vitamin B1, Aneurin, Antiberiberi factor
gal1p	C00446	gal1p	alpha-D-Galactose 1-phosphate	C6H11O9P	-2.0	BiGG compound	gal1p	alpha-D-Galactopyranose 1-phosphate
clpn_BAC	CC0063	clpn_BAC	Cardiolipin (bacteria)	C75.342H140.5744O17.0P2.0	-2.0	charge is based on matching BiGG compounds	clpn181,clpn180,clpn161,clpn160190,clpn160,clpn141,clpn140,clpn120,clpn_SA,clpn_hs,clpn_HP,clpn_EC	
arab-L	C00259	arab-L	L-Arabinose	C5H10O5	0.0	BiGG compound	arab-L	L-Arabinopyranose
tmlys	C03793	tmlys	N6,N6,N6-Trimethyl-L-lysine	C9H21N2O2	1.0	formula and charge based on MetaCyc	tmlys	
pan4p	C01134	pan4p	Pantetheine 4'-phosphate	C11H21N2O7PS	-2.0	BiGG compound	pan4p	4'-Phosphopantetheine, Phosphopantetheine, D-Pantetheine 4'-phosphate
dadp	C00206	dadp	dADP	C10H12N5O9P2	-3.0	BiGG compound	dadp	2'-Deoxyadenosine 5'-diphosphate
drib	C01801	drib	Deoxyribose	C5H10O4	0.0	BiGG compound	drib	2-Deoxy-D-erythro-pentose, Thyminose, 2-Deoxy-D-ribose
trnaarg	C01636	trnaarg	tRNA(Arg)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaarg	
Lkynr	C00328	Lkynr	L-Kynurenine	C10H12N2O3	0.0	BiGG compound	Lkynr	3-Anthraniloyl-L-alanine
trnamet	C01647	trnamet	tRNA(Met)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnamet	
leu-L	C00123	leu-L	L-Leucine	C6H13NO2	0.0	BiGG compound	leu-L	2-Amino-4-methylvaleric acid, (2S)-alpha-2-Amino-4-methylvaleric acid, (2S)-alpha-Leucine
thbpt4acam	C15522	thbpt4acam	Tetrahydrobiopterin-4a-carbinolamine	C9H15N5O4	0.0	BiGG compound	thbpt4acam	4a-Hydroxytetrahydrobiopterin, 4a-Hydroxy-5,6,4,8-tetrahydrobiopterin, (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-hydroxypterin
hemeprotein	CC0074	hemeprotein	Hemeprotein	C34H30FeN4O4X	0.0	designed for hypothetical reaction RCC0076; arbitrarily matched with focytC		
3hhcoa	C05268	3hhcoa	(S)-3-Hydroxyhexanoyl-CoA	C27H42N7O18P3S	-4.0	BiGG compound	3hhcoa	(S)-Hydroxyhexanoyl-CoA
apocytc	C02248	apocytc	Apo cytochrome C	C8H12N4O4S2R4	0.0	charge is obvious based on general rules and similar compounds		Apocytochrome c
fa19c11coa	CC0099	fa19c11coa	cis-11,12-methyleneoctadecanoyl coa	C40H66N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds		
his-L	C00135	his-L	L-Histidine	C6H9N3O2	0.0	BiGG compound	his-L	(S)-alpha-Amino-1H-imidazole-4-propionic acid
pe_BAC	CC0058	pe_BAC	Phosphatidylethanolamine (bacteria)	C38.171H74.2872N1.0O8.0P1.0	0.0	charge is based on matching BiGG compounds	pe181,pe180,pe161,pe160,pe141,pe140,pe120,pe_SA,pe_hs,pe_EC,pe_HP,pe_SC	
metsel	C05703	metsel	Methylselenol	CH3Se	-1.0	charge based on PID: 15037206		Methaneselenol
thcrm_ce	CC0215	thcrm_ce	trihexosyl ceramide 	C55.5654H99.5778N1.0O18.0	0.0	charge based on human version in BiGG	thcrm_hs	
6pgl	C01236	6pgl	"6-phospho-D-glucono-1,5-lactone"	C6H9O9P	-2.0	BiGG compound	6pgl	D-Glucono-1,5-lactone 6-phosphate, 6-Phospho-D-glucono-1,5-lactone
m7mpdol	CC0023	m7mpdol	(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C174H286N2O57P2	-2.0	assumed n=18 for the number of isoprene units; designated as G10597 in KEGG nomenclature	m7mpdol_L,m7mpdol_U	
g3p	C00118	g3p	Glyceraldehyde 3-phosphate	C3H5O6P	-2.0	BiGG compound	g3p	D-Glyceraldehyde 3-phosphate, (2R)-2-Hydroxy-3-(phosphonooxy)-propanal
5thf	CC0004	5thf	pentaglutamyl folate (THF)	C39H45N11O18	-6.0	BiGG compound	5thf	
4cmcoa	C00223	4cmcoa	4-Coumaroyl-CoA	C30H38N7O18P3S	-4.0	BiGG compound	4cmcoa	p-Coumaroyl-CoA, 4-Hydroxycinnamoyl-CoA
adp	C00008	adp	ADP	C10H12N5O10P2	-3.0	BiGG compound	adp	Adenosine 5'-diphosphate
pro-L	C00148	pro-L	L-Proline	C5H9NO2	0.0	BiGG compound	pro-L	2-Pyrrolidinecarboxylic acid
sertrna_sec	C06481	sertrna_sec	L-Seryl-tRNA(Sec)	C3H7NO3R	1.0	tRNA formula in BiGG was modified for mass balance	sertrna(sec)	
ade	C00147	ade	Adenine	C5H5N5	0.0	BiGG compound	ade	6-Aminopurine
pail34p	C11554	pail34p	phosphatidylinositol-3,4-bisphosphate 	C46.1308H77.1556O19.0P3.0	-5.0	charge based on human version in BiGG	pail34p_hs	1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4'-bisphosphate)
dutp	C00460	dutp	dUTP	C9H11N2O14P3	-4.0	BiGG compound	dutp	2'-Deoxyuridine 5'-triphosphate
adn	C00212	adn	Adenosine	C10H13N5O4	0.0	BiGG compound	adn	
2maacoa	C03344	2maacoa	2-Methyl-3-acetoacetyl-CoA	C26H38N7O18P3S	-4.0	BiGG compound	2maacoa	2-Methylacetoacetyl-CoA
naglc2p	C04500	naglc2p	N-Acetyl-D-glucosaminyldiphosphodolichol	C118H193NO12P2	-2.0	assumed n=18 for the number of isoprene units	naglc2p_L,naglc2p_U	N-Acetyl-D-glucosaminyl-diphosphodolichol
6pthp	C03684	6pthp	"6-Pyruvoyl-5,6,7,8-tetrahydropterin"	C9H11N5O3	0.0	BiGG compound	6pthp	6-Pyruvoyltetrahydropterin, 6-(1,2-Dioxopropyl)-5,6,7,8-tetrahydropterin, 6-Pyruvoyl-5,6,7,8-tetrahydropterin
g1m8masn	CC0030	g1m8masn	(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C80.0H134.0N4.0O63.0	-0.0	designated as G00010 in KEGG nomenclature	g1m8masn	
5hoxindoa	C05635	5hoxindoa	5-Hydroxyindoleacetate	C10H8NO3	-1.0	BiGG compound	5hoxindoa	
id3acald	C00637	id3acald	Indole-3-acetaldehyde	C10H9NO	0.0	BiGG compound	id3acald	2-(Indol-3-yl)acetaldehyde, Indoleacetaldehyde
protSfarCmet	C04748	protSfarCmet	Protein C-terminal S-farnesyl-L-cysteine methyl ester	C21H35N2O3SR(C2H2NOR)n	0.0	(C2H2NOR)n represents the repetitive peptide; the sign would depend on the protein but taken zero by convention		
phetrna	C03511	phetrna	L-Phenylalanyl-tRNA(Phe)	C9H11NO2R	1.0	tRNA formula in BiGG was modified for mass balance	phetrna	
chitin	C00461	chitin	Chitin (monomer)	C8H13NO5	0.0	BiGG compound	chitin	Chitin, beta-1,4-Poly-N-acetyl-D-glucosamine, [1,4-(N-Acetyl-beta-D-glucosaminyl)]n, [1,4-(N-Acetyl-beta-D-glucosaminyl)]n+1
3hibutcoa	C06000	3hibutcoa	(S)-3-Hydroxyisobutyryl-CoA	C25H38N7O18P3S	-4.0	BiGG compound	3hibutcoa	
lnlc	C01595	lnlc	linoleic acid (all cis C18:2) n-6	C18H31O2	-1.0	BiGG compound	lnlc	Linoleate, Linoleic acid, (9Z,12Z)-Octadecadienoic acid, 9-cis,12-cis-Octadecadienoate, 9-cis,12-cis-Octadecadienoic acid
icit	C00311	icit	Isocitrate	C6H5O7	-3.0	BiGG compound	icit	Isocitric acid, 1-Hydroxytricarballylic acid, 1-Hydroxypropane-1,2,3-tricarboxylic acid
13dpg	C00236	13dpg	3-Phospho-D-glyceroyl phosphate	C3H4O10P2	-4.0	BiGG compound	13dpg	1,3-Bisphospho-D-glycerate, (R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid, D-Glycerate 1,3-diphosphate
sphmyln_ce	CC0201	sphmyln_ce	Sphingomyelin	C42.5654H81.5778N2.0O6.0P1.0	-0.0	charge is based on matching BiGG compounds	sphmyln_hs	
amp	C00020	amp	AMP	C10H12N5O7P	-2.0	BiGG compound	amp	Adenosine 5'-monophosphate, Adenylic acid, Adenylate, 5'-AMP, 5'-Adenylic acid, 5'-Adenosine monophosphate, Adenosine 5'-phosphate
pcollglys	CC0143	pcollglys	Procollagen L-lysine (to be modified)	XH	1.0	charge does not matter	pcollglys	
3dhguln	C00618	3dhguln	3-Dehydro-L-gulonate	C6H9O7	-1.0	BiGG compound	3dhguln	
3pg	C00197	3pg	3-Phospho-D-glycerate	C3H4O7P	-3.0	BiGG compound	3pg	D-Glycerate 3-phosphate, 3-Phospho-(R)-glycerate, 3-Phosphoglycerate
vacccrn	CC0100	vacccrn	Vaccenyl carnitine	C25H47NO4	0.0	charge and formula based on other acyl carnitines	vacccrn	
phpyr	C00166	phpyr	Phenylpyruvate	C9H7O3	-1.0	BiGG compound	phpyr	Phenylpyruvic acid, alpha-Ketohydrocinnamic acid, keto-Phenylpyruvate, 3-Phenyl-2-oxopropanoate, 2-Oxo-3-phenylpropanoate
mi13456p	C01284	mi13456p	"1D-myo-Inositol 1,3,4,5,6-pentakisphosphate"	C6H7O21P5	-10.0	BiGG compound	mi13456p	1D-myo-Inositol 1,3,4,5,6-pentakisphosphate, D-myo-Inositol 1,3,4,5,6-pentakisphosphate, Inositol 1,3,4,5,6-pentakisphosphate
eet	C14770	eet	11,12-EET	C20H31O3	-1.0	ReconX compound		(5Z,8Z,14Z)-11,12-Epoxyeicosa-5,8,14-trienoic acid, (5Z,8Z,14Z)-11,12-Epoxyicosa-5,8,14-trienoic acid
m2masn	CC0040	m2masn	MM	C38.0H64.0N4.0O28.0	-0.0	named according to PMID: 12603202 		
thymd	C00214	thymd	Thymidine	C10H14N2O5	0.0	BiGG compound	thymd	Deoxythymidine
m2mpdol	CC0019	m2mpdol	(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C144H236N2O32P2	-2.0	assumed n=18 for the number of isoprene units; designated as G00005 in KEGG nomenclature	m2macchitppdol,m2mpdol_L,m2mpdol_U	
mercplaccys	CC0141	mercplaccys	3-mercaptolactate-cysteine disulfide	C6H10O5S2N	-1.0	BiGG compound	mercplaccys	
ptrc	C00134	ptrc	Putrescine	C4H14N2	2.0	BiGG compound	ptrc	1,4-Butanediamine, 1,4-Diaminobutane, Tetramethylenediamine, Butane-1,4-diamine
5adtststerone	C03917	5adtststerone	5alpha-Dihydrotestosterone	C19H30O2	0.0	BiGG compound	5adtststerone	Dihydrotestosterone, 17beta-Hydroxyandrostan-3-one, Androstanolone, 17beta-Hydroxy-5alpha-androstan-3-one
glyald	C00577	glyald	D-Glyceraldehyde	C3H6O3	0.0	BiGG compound	glyald	
protSger	CC0016	protSger	S-geranylgeranyl protein	C25H41N2O3SR(C2H2NOR)n(C2H2NOR)n	0.0	formula adjusted to a system where peptide account is consistent with reaction balancing; (C2H2NOR)n represents the repetitive peptide, first group in the C terminal, second in the N terminal; the sign would depend on the protein but taken zero by convention		
fa13p0iso	CC0069	fa13p0iso	Fatty acid (C13:iso)	C13H25O2	-1.0	See CC0067 for custom fatty acid nomenclature; iso stands for isomer	fa9,fa6,fa5,fa4,fa3,fa20n,fa19a,fa12,fa11,fa10,fa1	
g3pc	C00670	g3pc	sn-Glycero-3-phosphocholine	C8H20NO6P	0.0	BiGG compound	g3pc	Glycerophosphocholine
acgpail	C01288	acgpail	N-Acetyl-D-glucosaminylphosphatidylinositol	C54.1308H92.1556N1.0O18.0P1.0	-1.0	charge based on human version in BiGG	acgpail_hs	6-(N-Acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol
acser	C00979	acser	O-Acetyl-L-serine	C5H9NO4	0.0	BiGG compound	acser	O3-Acetyl-L-serine
acac	C00164	acac	Acetoacetate	C4H5O3	-1.0	BiGG compound	acac	3-Oxobutanoic acid, beta-Ketobutyric acid, Acetoacetic acid
enphpyr	C02763	enphpyr	enol-Phenylpyruvate	C9H7O3	-1.0	charge based on MetaCyc and 3DMET		2-Hydroxy-3-phenylpropenoate, enol-Phenylpyruvic acid, enol-alpha-Ketohydrocinnamic acid
g3pe	C01233	g3pe	sn-Glycero-3-phosphoethanolamine	C5H14NO6P	0.0	BiGG compound	g3pe	Glycerophosphoethanolamine
xanate	C02470	xanate	Xanthurenic acid	C10H5NO4	-2.0	charge based on Metacyc		Xanthurenate
glu-L	C00025	glu-L	L-Glutamate	C5H8NO4	-1.0	BiGG compound	glu-L	L-Glutamic acid, L-Glutaminic acid, Glutamate
Biomass	CC0134	Biomass	Body Biomass	X	0.0	charge does not matter		
met-L	C00073	met-L	L-Methionine	C5H11NO2S	0.0	BiGG compound	met-L	Methionine, L-2-Amino-4methylthiobutyric acid
2hyoxplac	C05852	2hyoxplac	2-Hydroxyphenylacetate	C8H7O3	-1.0	BiGG compound	2hyoxplac	2-Hydroxyphenylacetic acid
dopaqn	C00822	dopaqn	Dopaquinone	C9H9NO4	0.0	BiGG compound	dopaqn	
lgnccoa	CC0116	lgnccoa	lignocericyl coenzyme A	C45H78N7O17P3S	-4.0	BiGG compound	acoa	
msa	C00222	msa	Malonate semialdehyde	C3H3O3	-1.0	BiGG compound	msa	3-Oxopropanoate
dolp	C00110	dolp	Dolichol phosphate	C110H179O4P	-2.0	assumed n=18 for the number of isoprene units	dolp	Dolichyl phosphate
ibcoa	C00630	ibcoa	Isobutyryl-CoA	C25H38N7O17P3S	-4.0	BiGG compound	ibcoa	2-Methylpropanoyl-CoA, 2-Methylpropionyl-CoA
tropcollg_rest	CC0148	tropcollg_rest	Tropocollagen	X	0.0	charge does not matter		
mlthf	C00143	mlthf	"5,10-Methylenetetrahydrofolate"	C20H21N7O6	-2.0	BiGG compound	mlthf	5,10-Methylenetetrahydrofolate, (6R)-5,10-Methylenetetrahydrofolate, 5,10-Methylene-THF
for	C00058	for	Formate	CH1O2	-1.0	BiGG compound	for	Methanoic acid, Formic acid
ribflv	C00255	ribflv	Riboflavin	C17H20N4O6	0.0	BiGG compound	ribflv	Lactoflavin, 7,8-Dimethyl-10-ribitylisoalloxazine, Vitamin B2
na1	C01330	na1	Sodium	Na	1.0	BiGG compound	na1	Sodium cation, Na+, Sodium(1+), Sodium ion
pep	C00074	pep	Phosphoenolpyruvate	C3H2O6P	-3.0	BiGG compound	pep	Phosphoenolpyruvic acid, PEP
arachdcoa	C02249	arachdcoa	C20:4-CoA	C41H62N7O17P3S	-4.0	BiGG compound	arachdcoa	Arachidonyl-CoA, Arachidonoyl-CoA, (5Z,8Z,11Z,14Z)-Icosatetraenoyl-CoA
nonadp	C04145	nonadp	all-trans-Nonaprenyl diphosphate	C45H73O7P2	-3.0	charge based on octdp and decadp in BIGG		Solanesyl pyrophosphate, Solanesyl diphosphate
tma	C00565	tma	trimethylamine	C3H10N	1.0	BiGG compound	tma	(CH3)3N, N,N-Dimethylmethanamine
soluble_BAC	CC0072	soluble_BAC	Soluble pool in bacterial diet	C0.1997Co0.0004Fe0.0011H0.2682Mo0.0063N0.0539O0.1112P0.0089S0.0011Se0.0002	-0.0204	charge does not matter		
pchltn	C02471	pchltn	Phytochelatin	C2H5NO2(C8H11N2O4S)n	-1.0	Poly(gamma-glutamylcysteine)glycine; polymer formula used. | charge and formula checked for mass balance of reaction for production and the molecular structures in MetaCyc and KEGG		[Glu(-Cys)]n-Gly, Poly(gamma-glutamylcysteine)glycine, (gamma-Glutamylcysteine)n-glycine
4fumacac	C01061	4fumacac	4-Fumarylacetoacetate	C8H6O6	-2.0	BiGG compound	4fumacac	4-Fumarylacetoacetic acid, Fumarylacetoacetate
fol	C00504	fol	Folate	C19H18N7O6	-1.0	BiGG compound	fol	Pteroylglutamic acid, Folic acid
dhbpt	C00268	dhbpt	"6,7-Dihydrobiopterin"	C9H13N5O3	0.0	BiGG compound	dhbpt	Dihydrobiopterin, 6,7-Dihydrobiopterin, Quinoid-dihydrobiopterin, (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin
o2	C00007	o2	O2	O2	0.0	BiGG compound	o2	Oxygen
h2o2	C00027	h2o2	Hydrogen peroxide	H2O2	0.0	BiGG compound	h2o2	H2O2, Oxydol
PhosphoL	CC0124	PhosphoL	Phospholipids	C43.4949H79.2379N1.0482O7.8601P1.0157	-0.0521	charge does not matter		
pydxn	C00314	pydxn	Pyridoxine	C8H11NO3	0.0	BiGG compound	pydxn	Pyridoxol
asp-D	C00402	asp-D	D-Aspartate	C4H6NO4	-1.0	BiGG compound	asp-D	D-Aspartic acid
pmtcrn	C02990	pmtcrn	L-Palmitoylcarnitine	C23H45NO4	0.0	BiGG compound	pmtcrn	
cholp	C00588	cholp	Choline phosphate	C5H13NO4P	-1.0	BiGG compound	cholp	Phosphorylcholine, Phosphocholine, O-Phosphocholine
asp-L	C00049	asp-L	L-Aspartate	C4H6NO4	-1.0	BiGG compound	asp-L	L-Aspartic acid, 2-Aminosuccinic acid, L-Asp
