	Abbreviation	Name	Formula	Charge	Comments	BiGG	Other names
C05268	3hhcoa	(S)-3-Hydroxyhexanoyl-CoA	C27H42N7O18P3S	-4	BiGG compound	3hhcoa	(S)-Hydroxyhexanoyl-CoA
C02248	apocytc	Apo cytochrome C	C8H12N4O4S2R4	0.0	charge is obvious based on general rules and similar compounds		Apocytochrome c
CC0099	fa19c11coa	cis-11,12-methyleneoctadecanoyl coa	C40H66N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds		
C00135	his-L	L-Histidine	C6H9N3O2	0	BiGG compound	his-L	(S)-alpha-Amino-1H-imidazole-4-propionic acid
CC0058	pe_BAC	Phosphatidylethanolamine (bacteria)	C7H12NO8PR2	0.0	charge is based on matching BiGG compounds	pe181,pe180,pe161,pe160,pe141,pe140,pe120,pe_SA,pe_hs,pe_EC,pe_HP,pe_SC	
C05703	metsel	Methylselenol	CH3Se	-1.0	charge based on PID: 15037206		Methaneselenol
CC0215	thcrm_ce	trihexosyl ceramide 	C37H68NO17FULLRCO	0.0	charge based on human version in BiGG	thcrm_hs	
C01236	6pgl	"6-phospho-D-glucono-1,5-lactone"	C6H9O9P	-2	BiGG compound	6pgl	D-Glucono-1,5-lactone 6-phosphate, 6-Phospho-D-glucono-1,5-lactone
CC0023	m7mpdol	(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C174H286N2O57P2	-2.0	assumed n=18 for the number of isoprene units; designated as G10597 in KEGG nomenclature	m7mpdol_L,m7mpdol_U	
C00118	g3p	Glyceraldehyde 3-phosphate	C3H5O6P	-2	BiGG compound	g3p	D-Glyceraldehyde 3-phosphate, (2R)-2-Hydroxy-3-(phosphonooxy)-propanal
CC0004	5thf	pentaglutamyl folate (THF)	C39H45N11O18	-6.0	BiGG compound	5thf	
C00223	4cmcoa	4-Coumaroyl-CoA	C30H38N7O18P3S	-4	BiGG compound	4cmcoa	p-Coumaroyl-CoA, 4-Hydroxycinnamoyl-CoA
C00008	adp	ADP	C10H12N5O10P2	-3	BiGG compound	adp	Adenosine 5'-diphosphate
C00148	pro-L	L-Proline	C5H9NO2	0	BiGG compound	pro-L	2-Pyrrolidinecarboxylic acid
C06481	sertrna_sec	L-Seryl-tRNA(Sec)	C3H7NO3R	1.0	tRNA formula in BiGG was modified for mass balance	sertrna(sec)	
C00147	ade	Adenine	C5H5N5	0	BiGG compound	ade	6-Aminopurine
C11554	pail34p	phosphatidylinositol-3,4-bisphosphate 	C9H14O15P3FULLRCO2FULLR2CO2	-5.0	charge based on human version in BiGG	pail34p_hs	1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4'-bisphosphate)
C00460	dutp	dUTP	C9H11N2O14P3	-4	BiGG compound	dutp	2'-Deoxyuridine 5'-triphosphate
C00212	adn	Adenosine	C10H13N5O4	0	BiGG compound	adn	
C03344	2maacoa	2-Methyl-3-acetoacetyl-CoA	C26H38N7O18P3S	-4	BiGG compound	2maacoa	2-Methylacetoacetyl-CoA
C04500	naglc2p	N-Acetyl-D-glucosaminyldiphosphodolichol	C118H193NO12P2	-2.0	assumed n=18 for the number of isoprene units	naglc2p_L,naglc2p_U	N-Acetyl-D-glucosaminyl-diphosphodolichol
C03684	6pthp	"6-Pyruvoyl-5,6,7,8-tetrahydropterin"	C9H11N5O3	0	BiGG compound	6pthp	6-Pyruvoyltetrahydropterin, 6-(1,2-Dioxopropyl)-5,6,7,8-tetrahydropterin, 6-Pyruvoyl-5,6,7,8-tetrahydropterin
CC0030	g1m8masn	(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C76H127N2O60X	0.0	designated as G00010 in KEGG nomenclature	g1m8masn	
C05635	5hoxindoa	5-Hydroxyindoleacetate	C10H8NO3	-1	BiGG compound	5hoxindoa	
C00637	id3acald	Indole-3-acetaldehyde	C10H9NO	0	BiGG compound	id3acald	2-(Indol-3-yl)acetaldehyde, Indoleacetaldehyde
C04748	protSfarCmet	Protein C-terminal S-farnesyl-L-cysteine methyl ester	C21H35N2O3SR(C2H2NOR)n	0.0	(C2H2NOR)n represents the repetitive peptide; the sign would depend on the protein but taken zero by convention		
C03511	phetrna	L-Phenylalanyl-tRNA(Phe)	C9H11NO2R	1.0	tRNA formula in BiGG was modified for mass balance	phetrna	
C00461	chitin	Chitin (monomer)	C8H13NO5	0	BiGG compound	chitin	Chitin, beta-1,4-Poly-N-acetyl-D-glucosamine, [1,4-(N-Acetyl-beta-D-glucosaminyl)]n, [1,4-(N-Acetyl-beta-D-glucosaminyl)]n+1
C06000	3hibutcoa	(S)-3-Hydroxyisobutyryl-CoA	C25H38N7O18P3S	-4	BiGG compound	3hibutcoa	
C01595	lnlc	linoleic acid (all cis C18:2) n-6	C18H31O2	-1	BiGG compound	lnlc	Linoleate, Linoleic acid, (9Z,12Z)-Octadecadienoic acid, 9-cis,12-cis-Octadecadienoate, 9-cis,12-cis-Octadecadienoic acid
C00311	icit	Isocitrate	C6H5O7	-3	BiGG compound	icit	Isocitric acid, 1-Hydroxytricarballylic acid, 1-Hydroxypropane-1,2,3-tricarboxylic acid
C00236	13dpg	3-Phospho-D-glyceroyl phosphate	C3H4O10P2	-4	BiGG compound	13dpg	1,3-Bisphospho-D-glycerate, (R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid, D-Glycerate 1,3-diphosphate
CC0201	sphmyln_ce	Sphingomyelin	C24H50N2O5PFULLRCO	0.0	charge is based on matching BiGG compounds	sphmyln_hs	
C00020	amp	AMP	C10H12N5O7P	-2	BiGG compound	amp	Adenosine 5'-monophosphate, Adenylic acid, Adenylate, 5'-AMP, 5'-Adenylic acid, 5'-Adenosine monophosphate, Adenosine 5'-phosphate
CC0143	pcollglys	Procollagen L-lysine (to be modified)	XH	1.0	charge does not matter	pcollglys	
C00618	3dhguln	3-Dehydro-L-gulonate	C6H9O7	-1	BiGG compound	3dhguln	
C00197	3pg	3-Phospho-D-glycerate	C3H4O7P	-3	BiGG compound	3pg	D-Glycerate 3-phosphate, 3-Phospho-(R)-glycerate, 3-Phosphoglycerate
CC0100	vacccrn	Vaccenyl carnitine	C25H47NO4	0.0	charge and formula based on other acyl carnitines	vacccrn	
C00166	phpyr	Phenylpyruvate	C9H7O3	-1	BiGG compound	phpyr	Phenylpyruvic acid, alpha-Ketohydrocinnamic acid, keto-Phenylpyruvate, 3-Phenyl-2-oxopropanoate, 2-Oxo-3-phenylpropanoate
C01284	mi13456p	"1D-myo-Inositol 1,3,4,5,6-pentakisphosphate"	C6H7O21P5	-10	BiGG compound	mi13456p	1D-myo-Inositol 1,3,4,5,6-pentakisphosphate, D-myo-Inositol 1,3,4,5,6-pentakisphosphate, Inositol 1,3,4,5,6-pentakisphosphate
C14770	eet	11,12-EET	C20H31O3	-1.0	ReconX compound		(5Z,8Z,14Z)-11,12-Epoxyeicosa-5,8,14-trienoic acid, (5Z,8Z,14Z)-11,12-Epoxyicosa-5,8,14-trienoic acid
CC0040	m2masn	MM	C34H57N2O25X	0.0	named according to PMID: 12603202 		
C00214	thymd	Thymidine	C10H14N2O5	0	BiGG compound	thymd	Deoxythymidine
CC0019	m2mpdol	(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C144H236N2O32P2	-2.0	assumed n=18 for the number of isoprene units; designated as G00005 in KEGG nomenclature	m2macchitppdol,m2mpdol_L,m2mpdol_U	
CC0141	mercplaccys	3-mercaptolactate-cysteine disulfide	C6H10O5S2N	-1.0	BiGG compound	mercplaccys	
C00134	ptrc	Putrescine	C4H14N2	2	BiGG compound	ptrc	1,4-Butanediamine, 1,4-Diaminobutane, Tetramethylenediamine, Butane-1,4-diamine
C03917	5adtststerone	5alpha-Dihydrotestosterone	C19H30O2	0	BiGG compound	5adtststerone	Dihydrotestosterone, 17beta-Hydroxyandrostan-3-one, Androstanolone, 17beta-Hydroxy-5alpha-androstan-3-one
C00577	glyald	D-Glyceraldehyde	C3H6O3	0	BiGG compound	glyald	
CC0016	protSger	S-geranylgeranyl protein	C25H41N2O3SR(C2H2NOR)n(C2H2NOR)n	0.0	formula adjusted to a system where peptide account is consistent with reaction balancing; (C2H2NOR)n represents the repetitive peptide, first group in the C terminal, second in the N terminal; the sign would depend on the protein but taken zero by convention		
CC0069	fa13p0iso	Fatty acid (C13:iso)	C13H25O2	-1.0	See CC0067 for custom fatty acid nomenclature; iso stands for isomer	fa9,fa6,fa5,fa4,fa3,fa20n,fa19a,fa12,fa11,fa10,fa1	
C00670	g3pc	sn-Glycero-3-phosphocholine	C8H20NO6P	0	BiGG compound	g3pc	Glycerophosphocholine
C01288	acgpail	N-Acetyl-D-glucosaminylphosphatidylinositol	C17H29NO14PFULLRCO2FULLR2CO2	-1.0	charge based on human version in BiGG	acgpail_hs	6-(N-Acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol
C00979	acser	O-Acetyl-L-serine	C5H9NO4	0	BiGG compound	acser	O3-Acetyl-L-serine
C00164	acac	Acetoacetate	C4H5O3	-1	BiGG compound	acac	3-Oxobutanoic acid, beta-Ketobutyric acid, Acetoacetic acid
C02763	enphpyr	enol-Phenylpyruvate	C9H7O3	-1.0	charge based on MetaCyc and 3DMET		2-Hydroxy-3-phenylpropenoate, enol-Phenylpyruvic acid, enol-alpha-Ketohydrocinnamic acid
C01233	g3pe	sn-Glycero-3-phosphoethanolamine	C5H14NO6P	0	BiGG compound	g3pe	Glycerophosphoethanolamine
C02470	xanate	Xanthurenic acid	C10H5NO4	-2.0	charge based on Metacyc		Xanthurenate
C00025	glu-L	L-Glutamate	C5H8NO4	-1	BiGG compound	glu-L	L-Glutamic acid, L-Glutaminic acid, Glutamate
CC0134	Biomass	Body Biomass	X	0.0	charge does not matter		
C00073	met-L	L-Methionine	C5H11NO2S	0	BiGG compound	met-L	Methionine, L-2-Amino-4methylthiobutyric acid
C05852	2hyoxplac	2-Hydroxyphenylacetate	C8H7O3	-1	BiGG compound	2hyoxplac	2-Hydroxyphenylacetic acid
C00822	dopaqn	Dopaquinone	C9H9NO4	0	BiGG compound	dopaqn	
CC0116	lgnccoa	lignocericyl coenzyme A	C45H78N7O17P3S	-4.0	BiGG compound	acoa	
C00222	msa	Malonate semialdehyde	C3H3O3	-1	BiGG compound	msa	3-Oxopropanoate
C00110	dolp	Dolichol phosphate	C110H179O4P	-2.0	assumed n=18 for the number of isoprene units	dolp	Dolichyl phosphate
C00630	ibcoa	Isobutyryl-CoA	C25H38N7O17P3S	-4	BiGG compound	ibcoa	2-Methylpropanoyl-CoA, 2-Methylpropionyl-CoA
CC0148	tropcollg_rest	Tropocollagen	X	0.0	charge does not matter		
C00143	mlthf	"5,10-Methylenetetrahydrofolate"	C20H21N7O6	-2	BiGG compound	mlthf	5,10-Methylenetetrahydrofolate, (6R)-5,10-Methylenetetrahydrofolate, 5,10-Methylene-THF
C00058	for	Formate	CH1O2	-1	BiGG compound	for	Methanoic acid, Formic acid
C00255	ribflv	Riboflavin	C17H20N4O6	0	BiGG compound	ribflv	Lactoflavin, 7,8-Dimethyl-10-ribitylisoalloxazine, Vitamin B2
C01330	na1	Sodium	Na	1	BiGG compound	na1	Sodium cation, Na+, Sodium(1+), Sodium ion
C00074	pep	Phosphoenolpyruvate	C3H2O6P	-3	BiGG compound	pep	Phosphoenolpyruvic acid, PEP
C02249	arachdcoa	C20:4-CoA	C41H62N7O17P3S	-4	BiGG compound	arachdcoa	Arachidonyl-CoA, Arachidonoyl-CoA, (5Z,8Z,11Z,14Z)-Icosatetraenoyl-CoA
C04145	nonadp	all-trans-Nonaprenyl diphosphate	C45H73O7P2	-3.0	charge based on octdp and decadp in BIGG		Solanesyl pyrophosphate, Solanesyl diphosphate
C00565	tma	trimethylamine	C3H10N	1	BiGG compound	tma	(CH3)3N, N,N-Dimethylmethanamine
CC0072	soluble_BAC	Soluble pool in bacterial diet	X	0.0	charge does not matter		
C02471	pchltn	Phytochelatin	C2H5NO2(C8H11N2O4S)n	-1.0	Poly(gamma-glutamylcysteine)glycine; polymer formula used. | charge and formula checked for mass balance of reaction for production and the molecular structures in MetaCyc and KEGG		[Glu(-Cys)]n-Gly, Poly(gamma-glutamylcysteine)glycine, (gamma-Glutamylcysteine)n-glycine
C01061	4fumacac	4-Fumarylacetoacetate	C8H6O6	-2	BiGG compound	4fumacac	4-Fumarylacetoacetic acid, Fumarylacetoacetate
C00504	fol	Folate	C19H18N7O6	-1	BiGG compound	fol	Pteroylglutamic acid, Folic acid
C00268	dhbpt	"6,7-Dihydrobiopterin"	C9H13N5O3	0	BiGG compound	dhbpt	Dihydrobiopterin, 6,7-Dihydrobiopterin, Quinoid-dihydrobiopterin, (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin
C00007	o2	O2	O2	0	BiGG compound	o2	Oxygen
C00027	h2o2	Hydrogen peroxide	H2O2	0	BiGG compound	h2o2	H2O2, Oxydol
CC0124	PhosphoL	Phospholipids	X	0.0	charge does not matter		
C00314	pydxn	Pyridoxine	C8H11NO3	0	BiGG compound	pydxn	Pyridoxol
C00402	asp-D	D-Aspartate	C4H6NO4	-1	BiGG compound	asp-D	D-Aspartic acid
C02990	pmtcrn	L-Palmitoylcarnitine	C23H45NO4	0	BiGG compound	pmtcrn	
C00588	cholp	Choline phosphate	C5H13NO4P	-1	BiGG compound	cholp	Phosphorylcholine, Phosphocholine, O-Phosphocholine
C00049	asp-L	L-Aspartate	C4H6NO4	-1	BiGG compound	asp-L	L-Aspartic acid, 2-Aminosuccinic acid, L-Asp
C05453	xoldioloneh	"7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one"	C27H46O3	0	BiGG compound	xoldioloneh	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one, 5beta-Cholesten-7alpha,12alpha-diol-3-one
C00669	glucys	gamma-L-Glutamyl-L-cysteine	C8H13N2O5S	-1	BiGG compound	glucys	L-gamma-Glutamylcysteine, 5-L-Glutamyl-L-cysteine, gamma-Glutamylcysteine
C16216	3oodcoa	3-Oxooctadecanoyl-CoA	C39H64N7O18P3S	-4	BiGG compound	3oodcoa	3-Oxostearoyl-CoA, beta-Ketostearoyl-CoA, 3-Ketostearoyl-CoA
C01755	tcynt	Thiocyanate	CNS	-1	BiGG compound	tcynt	Thiocyanic acid
C00187	chsterol	Cholesterol	C27H46O	0	BiGG compound	chsterol	Cholest-5-en-3beta-ol
CC0114	fa17p0isocrn	Fatty acyl (C17:iso) carnitine	C24H47NO4	0.0	charge and formula based on other acyl carnitines. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer		
C01832	ddcacoa	Dodecanoyl-CoA (n-C12:0CoA)	C33H54N7O17P3S	-4	BiGG compound	ddcacoa	Lauroyl-CoA, Lauroyl coenzyme A, Dodecanoyl-CoA
C00544	hgentis	Homogentisate	C8H7O4	-1	BiGG compound	hgentis	Homogentisic acid, 2,5-Dihydroxyphenylacetic acid, 2,5-Dihydroxyphenylacetate
C03862	dolmanp	Dolichyl phosphate D-mannose	C116H190O9P	-1.0	assumed n=18 for the number of isoprene units	dolmanp	Dolichyl D-mannosyl phosphate
CC0214	galgluside_ce	galactosyl glucosyl ceramide	C31H58NO12FULLRCO	0.0	charge based on human version in BiGG	galgluside_hs	
C03231	3mgcoa	3-Methylglutaconyl-CoA	C27H37N7O19P3S	-5	BiGG compound	3mgcoa	trans-3-Methylglutaconyl-CoA, (E)-3-Methylglutaconyl-1-CoA
C00266	gcald	Glycolaldehyde	C2H4O2	0	BiGG compound	gcald	Hydroxyacetaldehyde
C05946	4h2oglt	4-Hydroxy-2-oxoglutarate	C5H4O6	-2	BiGG compound	4h2oglt	(4R)-4-Hydroxy-2-oxoglutarate, (R)-2-Hydroxy-4-oxopentanedioate, D-4-Hydroxy-2-oxoglutarate
CC0088	occrn	Octanoyl carnitine	C15H29NO4	0.0	charge and formula based on other acyl carnitines		
C05261	3otdcoa	3-Oxotetradecanoyl-CoA	C35H56N7O18P3S	-4	BiGG compound	3otdcoa	
CC0090	fa16p3n6coa	Intermediary fatty acid C16:3	C37H56N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature		
CC0070	fa15p0iso	Fatty acid (C15:iso)	C15H29O2	-1.0	same as fa3 in BIGG; renamed to be consistent with the name convention here for fatty acids without a specific name. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer	fa9,fa6,fa5,fa4,fa3,fa20n,fa19a,fa12,fa11,fa10,fa1	
C00024	accoa	Acetyl-CoA	C23H34N7O17P3S	-4	BiGG compound	accoa	Acetyl coenzyme A
C00132	meoh	Methanol	CH4O1	0	BiGG compound	meoh	Methyl alcohol, CH3OH
C03680	4izp	4-Imidazolone-5-propanoate	C6H7N2O3	-1	BiGG compound	4izp	4-Imidazolone-5-propionic acid, 4,5-Dihydro-4-oxo-5-imidazolepropanoate
C05936	n4abutn	N4-Acetylaminobutanal	C6H11NO2	0	BiGG compound	n4abutn	4-Acetamidobutanal
CC0213	gluside_ce	glucocerebroside 	C25H48NO7FULLRCO	0.0	charge based on human version in BiGG	gluside_hs	
C00163	ppa	Propionate (n-C3:0)	C3H5O2	-1	BiGG compound	ppa	Propanoate, Propionate, Propanoic acid, Propionic acid
C03197	S3hb	(S)-3-Hydroxybutanoate	C4H7O3	-1.0	charge is obvious based on general rules and similar compounds	bhb	
C00013	ppi	Diphosphate	HO7P2	-3	BiGG compound	ppi	Diphosphoric acid, Pyrophosphate, Pyrophosphoric acid, PPi
C11499	sl-L	L-sulfolactate	C3H4O6S	-2	BiGG compound	sl-L	(S)-3-Sulfolactate, (2S)-3-Sulfolactate
C00956	L2aadp	L-2-Aminoadipate	C6H10NO4	-1	BiGG compound	L2aadp	L-alpha-Aminoadipate, L-alpha-Aminoadipic acid, L-2-Aminoadipic acid, L-2-Aminohexanedioate
C02593	tdcoa	Tetradecanoyl-CoA (n-C14:0CoA)	C35H58N7O17P3S	-4	BiGG compound	tdcoa	Tetradecanoyl-CoA, Myristoyl-CoA
C00777	retn	Retinoate	C20H27O2	-1	BiGG compound	retn	Retinoic acid, Vitamin A acid, all-trans-Retinoate, Acide retinoique (French) (DSL), Tretinoine (French) (EINECS), 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL), (all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid, beta-Retinoic acid, AGN 100335, all-(E)-Retinoic acid, all-trans-beta-Retinoic acid, all-trans-Retinoic acid, all-trans-Tretinoin, all-trans-Vitamin A acid, Ro 1-5488, trans-Retinoic acid, Tretin M, all-trans-Vitamin A1 acid
C03702	Nmelys	Histone N6-methyl-L-lysine	XC7H15N2O	1.0	formula and charge inferred from MetaCyc	Nmelys	
C01944	occoa	Octanoyl-CoA (n-C8:0CoA)	C29H46N7O17P3S	-4	BiGG compound	occoa	Octanoyl-CoA
C02291	cyst-L	L-Cystathionine	C7H14N2O4S	0	BiGG compound	cyst-L	
C00117	r5p	alpha-D-Ribose 5-phosphate	C5H9O8P	-2	BiGG compound	r5p	D-Ribose 5-phosphate, Ribose 5-phosphate
C02839	tyrtrna	L-Tyrosyl-tRNA(Tyr)	C9H11NO3R	1.0	tRNA formula in BiGG was modified for mass balance	tyrtrna	
CC0015	dedol	Dehydrodolichol, n=18	C110H178O1	0.0	assumed n=18 for the number of isoprene units		
CC0097	fa11c3coa	cis-3,4-methylenedecanoyl coa	C32H50N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds		
C01648	trnaphe	tRNA(Phe)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaphe	
C00794	sbt-D	D-Sorbitol	C6H14O6	0	BiGG compound	sbt-D	D-Glucitol, L-Gulitol, Sorbitol
CC0140	pcrn	Propionyl-carnitine	C10H19NO4	0.0	charge and formula based on other acyl carnitines	pcrn	
C00149	mal-L	L-Malate	C4H4O5	-2	BiGG compound	mal-L	(S)-Malate, L-Apple acid, L-Malic acid, L-2-Hydroxybutanedioic acid, Malate, Malic acid
C05696	3padsel	3'-Phosphoadenylylselenate	C10H11N5O13P2Se	-4	BiGG compound	3padsel	3'-Phosphoadenosine-5'-phosphoselenate
CC0082	dag_tag	diacylglycerol (TAG)	C3H6OFULLR4CO2FULLR5CO2	0.0	charge based on human version in BiGG	dag_hs	
C00346	ethamp	Ethanolamine phosphate	C2H7NO4P	-1	BiGG compound	ethamp	O-Phosphorylethanolamine, Phosphoethanolamine, O-Phosphoethanolamine
C16218	od2coa	trans-Octadec-2-enoyl-CoA	C39H64N7O17P3S	-4	BiGG compound	od2coa	(2E)-Octadecenoyl-CoA
C00065	ser-L	L-Serine	C3H7NO3	0	BiGG compound	ser-L	L-2-Amino-3-hydroxypropionic acid, L-3-Hydroxy-alanine, Serine
C00787	trnatyr	tRNA(Tyr)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnatyr	
C00194	adocbl	Adenosylcobalamin	C72H100CoN18O17P	0	BiGG compound	adocbl	Cobamide coenzyme, Adenosylcob(III)alamin, Deoxyadenosylcobalamin, Cobamamide, Vitamin B12 coenzyme, 5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide, (5'-Deoxy-5'-adenosyl)cobamide coenzyme, (5,6-Dimethylbenzimidazolyl)cobamide coenzyme, alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme, 5'-Deoxy-5'-adenosylcobalamin, 5'-Deoxy-5'-adenosyl vitamin B12, 5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide, 5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide, Calomide, Cobalamin coenzyme, Coenzyme B12, DMBC coenzyme, Dibencozide, Funacomide
C05977	akac2gp	2-Acyl-1-alkyl-sn-glycero-3-phosphate	C4H5O7PRRC2H4	-2.0	charge based on human version in BiGG	ak2gp_hs	
CC0093	fa8p1n3crn	Fatty acyl C8:1 carnitine	C15H27NO4	0.0	charge and formula based on other acyl carnitines. | See CC0067 for custom fatty acid nomenclature		
CC0121	DNA	DNA (biomass)	X	0.0	for biomass equation; charge does not matter	DNA	
C00385	xan	Xanthine	C5H4N4O2	0	BiGG compound	xan	
C02946	4aabutn	4-Acetamidobutanoate	C6H10NO3	-1	BiGG compound	4aabutn	N4-Acetylaminobutanoate
C11061	retnglc	retinoyl glucuronide	C26H35O8	-1	BiGG compound	retnglc	all-trans-Retinoyl-beta-glucuronide
C02588	retpalm	Retinyl palminate	C36H60O2	0	BiGG compound	retpalm	Retinyl palmitate, Vitamin A palmitate, all-trans-Retinyl palmitate, Retinol palmitate
C00343	trdox	Oxidized thioredoxin	X	0	BiGG compound	trdox	Thioredoxin disulfide, Thioredoxin sulfide
C00189	etha	Ethanolamine	C2H8NO	1	BiGG compound	etha	Aminoethanol, 2-Hydroxyethylamine
C05264	3hdcoa	(S)-3-Hydroxydecanoyl-CoA	C31H50N7O18P3S	-4	BiGG compound	3hdcoa	(S)-Hydroxydecanoyl-CoA
C00094	so3	Sulfite	O3S	-2	BiGG compound	so3	Sulfurous acid
C00162	Rtotal	R total	CO2FULLR	-1	BiGG compound	Rtotal	Fatty acid
C00059	so4	Sulfate	O4S	-2	BiGG compound	so4	Sulfuric acid
C01346	dudp	dUDP	C9H11N2O11P2	-3	BiGG compound	dudp	2'-Deoxyuridine 5'-diphosphate
CC0010	2np6mobq_me	2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	C53H80O3	0.0	charge based on 2dp6mobq_me in BIGG	2dp6mobq_me	
C01144	3hbcoa	(S)-3-Hydroxybutanoyl-CoA	C25H38N7O18P3S	-4	BiGG compound	3hbcoa	(S)-3-Hydroxybutyryl-CoA
C05546	peptmelys	Protein N6,N6,N6-trimethyl-L-lysine	XC9H19N2O	1.0	formula and charge based on MetaCyc	Ntmelys	
C01013	3hpp	3-Hydroxypropanoate	C3H5O3	-1	BiGG compound	3hpp	3-Hydroxypropanoic acid, 3-Hydroxypropionate, 3-Hydroxypropionic acid, Hydracrylic acid
C00365	dump	dUMP	C9H11N2O8P	-2	BiGG compound	dump	Deoxyuridylic acid, Deoxyuridine monophosphate, Deoxyuridine 5'-phosphate, 2'-Deoxyuridine 5'-phosphate
C03594	xol7a	7 alpha-Hydroxycholesterol	C27H46O2	0	BiGG compound	xol7a	7alpha-Hydroxycholesterol, Cholest-5-ene-3beta,7alpha-diol
CC0101	odecrn	Octadecenoyl carnitine	C25H47NO4	0.0	charge and formula based on other acyl carnitines	odecrn	
C01019	fuc-L	L-Fucose	C6H12O5	0.0	BiGG compound		6-Deoxy-L-galactose
CC0115	fa9p0isocrn	Fatty acyl (C9:iso) carnitine	C16H31NO4	0.0	charge and formula based on other acyl carnitines. | See CC0067 for custom fatty acid nomenclature		
C00535	tststerone	Testosterone	C19H28O2	0	BiGG compound	tststerone	17beta-Hydroxy-4-androsten-3-one
C03512	trptrna	L-Tryptophanyl-tRNA(Trp)	C11H12N2O2R	1.0	tRNA formula in BiGG was modified for mass balance	trptrna	
C04549	pail3p	1-Phosphatidyl-1D-myo-inositol 3-phosphate 	C9H15O12P2FULLRCO2FULLR2CO2	-3.0	charge based on human version in BiGG	pail3p_hs	1-Phosphatidyl-1D-myo-inositol 3-phosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3'-phosphate)
C01157	4hpro-LT	trans-4-Hydroxy-L-proline	C5H9NO3	0	BiGG compound	4hpro-LT	Hydroxyproline, L-Hydroxyproline
CC0098	fa17c9coa	cis-9,10-methylenehexadecanoyl coa	C38H62N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds		
C05640	cinnavalininate	Cinnavalininate	C14H6N2O6	-2.0	charge based on DMET		Cinnabarinic acid
CC0208	sph1p_ce	Sphinganine 1-phosphate	C19H41NO5P	-1.0	charge based on matching BiGG compound	sph1p	
C02430	mettrna	L-Methionyl-tRNA (Met)	C5H11NO2SR	1.0	tRNA formula in BiGG was modified for mass balance	mettrna	L-Methionyl-tRNA, L-Methionyl-tRNA(Met)
C00354	fdp	"D-Fructose 1,6-bisphosphate"	C6H10O12P2	-4	BiGG compound	fdp	D-Fructose 1,6-bisphosphate
C03150	rnam	N-Ribosylnicotinamide	C11H15N2O5	1	BiGG compound	rnam	Nicotinamide-beta-riboside, 1-(beta-D-Ribofuranosyl)nicotinamide
C04677	aicar	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	C9H13N4O8P	-2	BiGG compound	aicar	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide, 5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide, 5'-Phospho-ribosyl-5-amino-4-imidazole carboxamide, AICAR, 5-Aminoimidazole-4-carboxamide ribotide, 5-Phosphoribosyl-4-carbamoyl-5-aminoimidazole
C00158	cit	Citrate	C6H5O7	-3	BiGG compound	cit	Citric acid, 2-Hydroxy-1,2,3-propanetricarboxylic acid, 2-Hydroxytricarballylic acid
C00137	inost	myo-Inositol	C6H12O6	0	BiGG compound	inost	D-myo-Inositol, 1D-myo-Inositol, L-myo-Inositol, 1L-myo-Inositol, meso-Inositol, Inositol, Dambose, Cyclohexitol, Meat sugar, Bios I
C05714	aprop	alpha-Aminopropiononitrile	C3H7N2	1	BiGG compound	aprop	
CC0109	fa16p1n7crn	Palmitoleyl carnitine	C23H43NO4	0.0	charge and formula based on other acyl carnitines. | See CC0067 for custom fatty acid nomenclature		
